,Model,TWOUT,TA ,Cooling Cpacity,Power Input,Fluid Flow rate  (l/s),Fluid Pressure Drop (kPa),Evaporator
598,Schneider XRAC4812,21,39,900,211.7,45.4,38.9,5
599,Schneider XRAC4812,21,41,900,225.2,45.4,38.9,5
600,Schneider XRAC4812,21,43,900,240.3,45.4,38.9,5
601,Schneider XRAC4812,21,45,900,256.5,45.4,38.9,5
602,Schneider XRAC4812,21,46,900,265.2,45.4,38.9,5
603,Schneider XRAC4812,23,25,900,135.7,45.4,38.5,5
604,Schneider XRAC4812,23,27,900,143,45.4,38.5,5
605,Schneider XRAC4812,23,29,900,148.1,45.4,38.5,5
606,Schneider XRAC4812,23,31,900,158.7,45.4,38.5,5
607,Schneider XRAC4812,23,33,900,168.5,45.4,38.5,5
608,Schneider XRAC4812,23,35,900,178.2,45.4,38.5,5
609,Schneider XRAC4812,23,37,900,188.9,45.4,38.5,5
610,Schneider XRAC4812,23,39,900,200.4,45.4,38.5,5
611,Schneider XRAC4812,23,41,900,213,45.4,38.5,5
612,Schneider XRAC4812,23,43,900,226.7,45.4,38.5,5
613,Schneider XRAC4812,23,45,900,241.6,45.4,38.5,5
614,Schneider XRAC4812,23,46,900,249.6,45.4,38.5,5
615,Schneider XRAC4812,25,25,900,116.6,45.4,38.1,5
616,Schneider XRAC4812,25,27,900,135.7,45.4,38.1,5
617,Schneider XRAC4812,25,29,900,140.5,45.4,38.1,5
618,Schneider XRAC4812,25,31,900,150.7,45.4,38.1,5
619,Schneider XRAC4812,25,33,900,160,45.4,38.1,5
620,Schneider XRAC4812,25,35,900,169.3,45.4,38.1,5
621,Schneider XRAC4812,25,37,900,179.2,45.4,38.1,5
622,Schneider XRAC4812,25,39,900,190,45.4,38.1,5
623,Schneider XRAC4812,25,41,900,201.7,45.4,38.1,5
624,Schneider XRAC4812,25,43,900,214.4,45.4,38.1,5
625,Schneider XRAC4812,25,45,900,228.3,45.4,38.1,5
626,Schneider XRAC4812,25,46,900,235.7,45.4,38.1,5
